country,iso_code,renewables_electricity,renewables_share_elec,renewables_share_energy
China,CHN,3388.429931640625,33.640071868896484,17.472375869750977
United States,USA,1057.3299560546875,24.100008010864254,12.050454139709473
Brazil,BRA,653.75,87.72106170654297,49.6159782409668
Canada,CAN,410.989990234375,65.52983093261719,27.156591415405277
India,IND,407.4200134277344,19.80131721496582,9.146443367004396
Germany,DEU,273.94000244140625,57.44542694091797,23.96800804138184
Japan,JPN,237.1199951171875,23.19475746154785,12.69704818725586
Russia,RUS,219.6000061035156,18.128984451293945,5.99939489364624
Spain,ESP,160.41000366210938,57.209598541259766,25.862646102905277
Turkey,TUR,155.64999389648438,45.61573028564453,19.78554916381836
